type;name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020
G;280;46.3063;15.5653;9.2706;14.7979;7.7509;0
G;281;12.5693;35.9229;17.8716;31.489;0;0
G;282;9.8306;10.1524;5.5754;5.8065;4.8104;3.893
G;283;10.6649;5.8031;5.8599;3.7379;0;0
G;284;8.9204;10.0355;11.4393;5.1883;0;0
G;285;8.45;9.2748;12.0407;9.0741;0;0
G;286;20.6628;17.3441;20.4519;18.3582;10.6422;0
G;287;0;13.5857;14.3068;14.3186;11.1295;14.4938
G;288;60.7997;37.2982;22.3297;11.7496;0;0
G;289;19.0153;22.9651;15.0648;14.7829;0;0
G;290;30.0277;20.6106;14.5738;29.1774;0;0
G;291;56.6128;33.4399;33.3588;21.3371;15.5764;0
G;292;18.746;21.363;5.6751;4.257;7.7072;0
G;293;36.9864;35.6169;17.1583;11.8296;12.7494;7.311
G;294;20.7429;14.3444;13.1987;11.3466;0;0
G;295;1.0675;0.9448;0.3984;0.3006;0;0
G;296;7.4591;9.8462;4.4536;38.9776;0;0
G;297;10.5965;11.9416;13.3527;3.5937;0;0
G;298;9.3696;12.4981;10.1863;13.4204;10.0219;0
G;299;20.1253;19.2243;23.4181;15.0323;0;0
G;300;9.5544;6.342;6.157;5.9925;5.1437;5.6223
G;301;0;0;28.4302;39.1262;38.9308;37.7742
G;302;18.0496;15.9082;25.4936;35.2297;40.339;35.9148
G;303;10.974;6.499;5.8387;6.4592;5.5226;6.3173
G;304;36.288;40.6563;19.098;19.3696;0;0
G;305;28.9163;40.8383;39.1662;20.926;7.6583;6.832
G;306;18.6416;17.5537;15.8016;15.3716;10.8035;13.2176
G;307;25.2493;22.2739;22.584;27.5898;51.2576;0
G;308;0;0;0;0;13.3883;37.962
G;309;17.0431;15.2922;47.524;59.8544;0;0
G;310;25.8277;46.2417;24.1605;21.6458;49.0124;89.851
G;311;15.4865;20.5446;24.1752;15.2221;14.1301;4.5252
G;312;20.1145;5.1234;4.5083;4.7257;3.6534;4.8028
G;313;20.2957;11.4232;23.8096;49.4671;54.1854;39.35
G;314;7.4572;10.5285;10.9265;10.0767;5.7407;13.144
G;315;12.478;17.9268;19.3053;17.8407;14.649;0
G;316;9.2008;7.59;6.8835;7.9329;7.7306;0
G;317;11.4079;7.1653;5.2483;6.0742;7.2094;8.1779
G;318;19.5881;11.4152;10.7961;3.5497;3.7064;5.2412
G;319;5.0099;4.3371;8.7614;12.6275;7.508;5.7349
G;320;0;0;0;0;7.5184;6.4781
G;321;19.7466;12.2061;14.2489;8.6258;5.2879;0
G;322;15.4805;37.4867;19.0418;22.5397;22.5002;0
G;323;9.1378;9.1323;6.6294;7.5745;6.1872;5.9451
G;324;12.6021;11.2253;3.7969;5.7958;11.3517;0
G;325;18.1573;18.5089;26.5685;13.2783;0;0
